movie_name,year,runtime,rating,detail_about_movie,director,actor_1,actor_2,votes,metascore,gross_collection,action,adventure,animation,biography,comedy,crime,drama,family,fantasy,film-noir,history,horror,music,musical,mystery,romance,sci-fi,sport,thriller,war,western
Avengers: Infinity War,2018,149,8.4,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Anthony Russo,Joe Russo,Robert Downey Jr.,959699,68.0,678.82,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Coco,2017,105,8.4,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Lee Unkrich,Adrian Molina,Anthony Gonzalez,449701,81.0,209.73,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Django Unchained,2012,165,8.4,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",Quentin Tarantino,Jamie Foxx,Christoph Waltz,1454518,81.0,162.81,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Dark Knight Rises,2012,164,8.4,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Christopher Nolan,Christian Bale,Tom Hardy,1602742,78.0,448.14,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Idiots,2009,170,8.4,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,Aamir Khan,Madhavan,374643,67.0,6.53,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Like Stars on Earth,2007,165,8.4,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",Aamir Khan,Amole Gupte,Darsheel Safary,183810,82.44954128440367,1.22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WALL·E,2008,98,8.4,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Andrew Stanton,Ben Burtt,Elissa Knight,1058382,95.0,223.81,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lives of Others,2006,137,8.4,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",Florian Henckel von Donnersmarck,Ulrich Mühe,Martina Gedeck,377066,89.0,11.29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Oldboy,2003,101,8.4,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Park Chan-Wook,Choi Min-sik,Yoo Ji-Tae,549858,77.0,0.71,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Memento,2000,113,8.4,A man with short-term memory loss attempts to track down his wife's murderer.,Christopher Nolan,Guy Pearce,Carrie-Anne Moss,1184128,80.0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
